Position;Rank;Name;Uri;ImageUri;Industry;Country;Revenue;MarketValue;Headquarters;Ceo;Profits;Assets;State;SquareImage;Thumbnail
1086;1086;Arthur J. Gallagher;gallagher;no-pic;Insurance Brokers;United States;6545,0;12529,0;Illinois;Patrick Gallagher Jr.;681,1;16128,0;Illinois;//specials-images.forbesimg.com/imageserve/5bc4aa5c31358e59f57aab4f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5bc4aa5c31358e59f57aab4f/280x425.jpg?fit=scale&background=000000
919;919;Asahi Glass;agc;no-pic;Construction Materials;Japan;13540,0;9908,0;Japan;Takuya Shimamura;668,3;20450,0;;//specials-images.forbesimg.com/imageserve/5ba5563ca7ea434e4c696292/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5ba5563ca7ea434e4c696292/280x425.jpg?fit=scale&background=000000
477;477;Asahi Group Holdings;asahi-group-holdings;asahi-group-holdings;Beverages;Japan;19379,0;25313,0;Japan;Akiyoshi Koji;1380,6;28986,0;;;
559;559;Asahi Kasei;asahi-kasei;asahi-kasei;Diversified Chemicals;Japan;18426,0;18758,0;Japan;Ichiro Itoh;1536,1;21778,0;;;
1192;1192;Ashtead Group;ashtead-group;ashtead-group;Business & Personal Services;United Kingdom;4739,0;14844,0;United Kingdom;Geoffrey Drabble;1285,8;9042,0;;;
1883;1882;Asian Paints;asian-paints;asian-paints;Specialized Chemicals;India;2505,0;18382,0;India;K. S.;310,2;1950,0;;http://specials-images.forbesimg.com/imageserve/5797ba2a31358e154fddfc43/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5797ba2a31358e154fddfc43/280x425.jpg?fit=scale&background=000000
942;942;Asr Nederland;asr-nederland;asr-nederland;Diversified Insurance;Netherlands;7162,0;6517,0;Netherlands;Jos M.;1021,9;65875,0;;;
843;843;Assa Abloy;assa-abloy;assa-abloy;Other Industrial Equipment;Sweden;9176,0;24701,0;Sweden;Nico Delvaux;1040,4;12522,0;;//specials-images.forbesimg.com/imageserve/5cd1a2a00a0ec40007b485e1/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a2a00a0ec40007b485e1/280x425.jpg?fit=scale&background=000000
1950;1950;Associated Banc-Corp;associated-banc-corp;associated-banc-corp;Regional Banks;United States;1290,0;4629,0;Wisconsin;Phil Flynn;241,2;33367,0;Wisconsin;;
542;542;Associated British Foods;associated-british-foods;associated-british-foods;Food Processing;United Kingdom;20300,0;29505,0;United Kingdom;George Weston;1367,5;17803,0;;;
1340;1340;Assurant;assurant;assurant;Diversified Insurance;United States;6417,0;4614,0;New York;Alan Colberg;481,8;32428,0;New York;;
1964;1964;Assured Guaranty;assured-guaranty;assured-guaranty;Diversified Insurance;Bermuda;1327,0;3932,0;Bermuda;Dominic Frederico;610,0;13897,0;;;
613;613;Astellas Pharma;astellas-pharma;astellas-pharma;Pharmaceuticals;Japan;11732,0;30083,0;Japan;Kenji Yasukawa;1485,8;17473,0;;;
213;213;AstraZeneca;astrazeneca;astrazeneca;Pharmaceuticals;United Kingdom;22440,0;90618,0;United Kingdom;Pascal Soriot;2976,1;63354,0;;;
1379;1379;Asustek Computer;asustek-computer;asustek-computer;Computer Hardware;Taiwan;14265,0;6964,0;Taiwan;Chen Shen;511,0;11590,0;;;
713;713;Athene Holding;athene-holding;athene-holding;Diversified Insurance;Bermuda;8154,0;9294,0;Bermuda;James Belardi;1332,0;93557,0;;;
609;609;Atlantia;atlantia;atlantia;Other Transportation;Italy;6140,0;27516,0;Italy;Giovanni Castellucci;1321,7;48707,0;;;
540;540;Atlas Copco;atlas-copco;atlas-copco;Other Industrial Equipment;Sweden;13222,0;49520,0;Sweden;Mats Rahmström;2047,3;16075,0;;;
1720;1720;Atmos Energy;atmos-energy;atmos-energy;Natural Gas Utilities;United States;3100,0;9801,0;Texas;Michael Haefner;599,2;11356,0;Texas;;
1124;1123;Attijariwafa Bank;attijariwafa-bank;attijariwafa-bank;Regional Banks;Morocco;3719,0;10035,0;Morocco;Mohamed Kettani;555,4;50891,0;;;
1564;1564;Aurubis;aurubis;aurubis;Diversified Metals & Mining;Germany;12915,0;4141,0;Germany;Juergen Schachler;453,8;5563,0;;;
1447;1447;AutoNation;autonation;autonation;Specialty Stores;United States;21655,0;4181,0;Florida;Michael Jackson;430,2;10220,0;Florida;;
862;862;AutoZone;autozone;autozone;Specialty Stores;United States;11134,0;17778,0;Tennessee;William Rhodes;1336,1;9404,0;Tennessee;;
1660;1660;Autodesk;autodesk;autodesk;Software & Programming;United States;2049,0;29845,0;California;Andrew Anagnost;-566,9;4114,0;California;//specials-images.forbesimg.com/imageserve/5cd1a2de5f8e4500093c5126/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a2de5f8e4500093c5126/280x425.jpg?fit=scale&background=000000
1319;1319;Autoliv;autoliv;autoliv;Auto & Truck Parts;Sweden;10587,0;12396,0;Sweden;Jan Carlson;409,9;8878,0;;;
373;373;Automatic Data Processing;automatic-data-processing;automatic-data-processing;Business & Personal Services;United States;13072,0;56096,0;New Jersey;Carlos Rodriguez;1777,9;44066,0;New Jersey;;
1023;1023;AvalonBay Communities;avalonbay-communities;avalonbay-communities;Real Estate;United States;2187,0;22995,0;Virginia;Timothy Naughton;780,5;18646,0;Virginia;//specials-images.forbesimg.com/imageserve/5a32a7fb31358e6e1b1d6f49/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5a32a7fb31358e6e1b1d6f49/280x425.jpg?fit=scale&background=000000
